champion,champion_key,opgg_pickrate,opgg_winrate,opgg_banrate,opgg_total_games,opgg_source_url,opgg_extraction_date,lolalytics_pickrate,lolalytics_breadth,lolalytics_depth,lolalytics_classification,lolalytics_unique_players,lolalytics_total_ranked_games,lolalytics_source_url,lolalytics_extraction_date,lolalytics_pickrate_scope,lolalytics_depth_scope,lolalytics_available,pickrate_absolute_difference,pickrate_relative_difference,pickrate_sources_agree_within_20pct,specialist_heuristic_flag,low_mid_presence_flag,matchup_cross_source_comparable,matchup_cross_source_note
Cho'Gath,chogath,0.0055000000000000005,0.5073,0.0079,10267,https://op.gg/lol/champions/chogath/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.005600000000000001,0.96,0.91,unpopular,131644,262117,https://lolalytics.com/lol/chogath/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00010000000000000026,0.018018018018018063,True,False,True,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Diana,diana,0.038,0.518,0.059000000000000004,70931,https://op.gg/lol/champions/diana/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0384,1.85,1.08,popular,215497,507920,https://lolalytics.com/lol/diana/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0003999999999999976,0.010471204188481612,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Ekko,ekko,0.0302,0.5072,0.024900000000000002,56030,https://op.gg/lol/champions/ekko/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0302,1.48,1.13,popular,165067,405430,https://lolalytics.com/lol/ekko/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0,0.0,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Fizz,fizz,0.051399999999999994,0.5179,0.0758,95059,https://op.gg/lol/champions/fizz/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0524,1.56,1.17,popular,167281,427289,https://lolalytics.com/lol/fizz/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0010000000000000078,0.01926782273603098,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Galio,galio,0.0358,0.495,0.015700000000000002,66804,https://op.gg/lol/champions/galio/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0356,0.98,0.8,unpopular,154543,268898,https://lolalytics.com/lol/galio/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0001999999999999988,0.0056022408963585105,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Hwei,hwei,0.0323,0.5073,0.0151,60029,https://op.gg/lol/champions/hwei/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0319,0.77,1.19,niche,80898,210963,https://lolalytics.com/lol/hwei/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0004000000000000045,0.012461059190031293,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Irelia,irelia,0.0273,0.5023,0.1369,50744,https://op.gg/lol/champions/irelia/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0275,1.54,1.11,popular,174815,421870,https://lolalytics.com/lol/irelia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0001999999999999988,0.007299270072992656,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Jayce,jayce,0.0066,0.502,0.0352,12358,https://op.gg/lol/champions/jayce/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0066,0.78,0.94,unpopular,104829,214342,https://lolalytics.com/lol/jayce/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0,0.0,True,False,True,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Kassadin,kassadin,0.024700000000000003,0.5004,0.0287,45775,https://op.gg/lol/champions/kassadin/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0245,0.45,0.96,unpopular,58975,122976,https://lolalytics.com/lol/kassadin/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00020000000000000226,0.0081300813008131,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Katarina,katarina,0.0662,0.506,0.09570000000000001,122886,https://op.gg/lol/champions/katarina/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0658,1.39,1.5,popular,116470,381849,https://lolalytics.com/lol/katarina/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0003999999999999976,0.006060606060606023,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
LeBlanc,leblanc,0.0433,0.5034000000000001,0.14429999999999998,80556,https://op.gg/lol/champions/leblanc/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0436,1.01,0.97,broad,131948,278022,https://lolalytics.com/lol/leblanc/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00030000000000000165,0.006904487917146183,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Lissandra,lissandra,0.051500000000000004,0.5184000000000001,0.0232,95790,https://op.gg/lol/champions/lissandra/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.051,0.98,1.0,niche,122483,267830,https://lolalytics.com/lol/lissandra/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0005000000000000074,0.009756097560975754,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Lux,lux,0.0426,0.5144,0.051500000000000004,79024,https://op.gg/lol/champions/lux/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.043,3.73,1.08,popular,432530,1022232,https://lolalytics.com/lol/lux/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0003999999999999976,0.009345794392523308,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Malphite,malphite,0.0092,0.5216,0.20879999999999999,17152,https://op.gg/lol/champions/malphite/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.009300000000000001,2.47,0.85,broad,364654,676445,https://lolalytics.com/lol/malphite/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00010000000000000113,0.010810810810810931,True,False,True,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Malzahar,malzahar,0.0758,0.521,0.1233,140607,https://op.gg/lol/champions/malzahar/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0766,1.99,1.23,popular,202245,544529,https://lolalytics.com/lol/malzahar/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0007999999999999952,0.01049868766404193,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Mel,mel,0.0667,0.4868,0.3774,124171,https://op.gg/lol/champions/mel/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0669,3.04,1.08,popular,354396,832448,https://lolalytics.com/lol/mel/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00020000000000000573,0.0029940119760479902,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Morgana,morgana,0.0063,0.5152,0.193,11688,https://op.gg/lol/champions/morgana/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0063,2.04,0.92,broad,279342,559917,https://lolalytics.com/lol/morgana/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0,0.0,True,False,True,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Naafiri,naafiri,0.023399999999999997,0.5108,0.16760000000000003,43443,https://op.gg/lol/champions/naafiri/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0235,1.71,1.18,popular,181966,470179,https://lolalytics.com/lol/naafiri/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00010000000000000286,0.004264392324093939,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Nasus,nasus,0.0067,0.5229,0.0583,12440,https://op.gg/lol/champions/nasus/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0066,1.63,0.95,broad,216307,447348,https://lolalytics.com/lol/nasus/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00010000000000000026,0.015037593984962447,True,False,True,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Orianna,orianna,0.042300000000000004,0.4805,0.0085,78833,https://op.gg/lol/champions/orianna/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.04190000000000001,0.78,0.82,unpopular,120252,214064,https://lolalytics.com/lol/orianna/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0003999999999999976,0.009501187648455998,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Pantheon,pantheon,0.0086,0.5251,0.018000000000000002,16143,https://op.gg/lol/champions/pantheon/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0087,1.77,0.95,broad,232890,484454,https://lolalytics.com/lol/pantheon/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,9.99999999999994e-05,0.011560693641618427,True,False,True,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Qiyana,qiyana,0.0199,0.498,0.0147,36993,https://op.gg/lol/champions/qiyana/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.02,0.5,1.26,niche,50081,137882,https://lolalytics.com/lol/qiyana/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,9.99999999999994e-05,0.005012531328320771,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Ryze,ryze,0.0331,0.4733,0.0087,61748,https://op.gg/lol/champions/ryze/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.033,0.74,0.82,unpopular,111993,201573,https://lolalytics.com/lol/ryze/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,9.999999999999593e-05,0.003025718608169317,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Sion,sion,0.0104,0.5376,0.0116,19539,https://op.gg/lol/champions/sion/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0104,1.19,0.98,broad,153117,327526,https://lolalytics.com/lol/sion/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0,0.0,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Smolder,smolder,0.0105,0.4692,0.063,19622,https://op.gg/lol/champions/smolder/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0109,2.3,1.13,popular,256736,630479,https://lolalytics.com/lol/smolder/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0003999999999999993,0.03738317757009339,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Swain,swain,0.011399999999999999,0.5188,0.0375,21200,https://op.gg/lol/champions/swain/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0113,1.62,1.07,popular,189136,443809,https://lolalytics.com/lol/swain/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,9.99999999999994e-05,0.008810572687224617,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Sylas,sylas,0.0687,0.49520000000000003,0.12990000000000002,127952,https://op.gg/lol/champions/sylas/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0689,2.82,0.89,broad,396918,772859,https://lolalytics.com/lol/sylas/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00020000000000000573,0.0029069767441861297,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Syndra,syndra,0.0467,0.5006,0.0288,86397,https://op.gg/lol/champions/syndra/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0464,0.89,0.99,unpopular,113093,243656,https://lolalytics.com/lol/syndra/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00030000000000000165,0.006444683136412496,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Taliyah,taliyah,0.0124,0.484,0.0031,23069,https://op.gg/lol/champions/taliyah/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.012199999999999999,0.32,0.89,unpopular,44838,87409,https://lolalytics.com/lol/taliyah/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00020000000000000052,0.01626016260162606,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Talon,talon,0.024900000000000002,0.4839,0.0417,46466,https://op.gg/lol/champions/talon/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.024900000000000002,1.17,1.09,popular,134388,319980,https://lolalytics.com/lol/talon/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0,0.0,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Twisted Fate,twistedfate,0.0432,0.5112,0.009000000000000001,80542,https://op.gg/lol/champions/twistedfate/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0432,0.79,1.01,niche,98144,216778,https://lolalytics.com/lol/twistedfate/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0,0.0,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Veigar,veigar,0.0495,0.5211,0.024300000000000002,92118,https://op.gg/lol/champions/veigar/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0504,2.08,1.05,popular,249585,569640,https://lolalytics.com/lol/veigar/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.000899999999999998,0.01801801801801798,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Vel'Koz,velkoz,0.011899999999999999,0.5183,0.013600000000000001,22030,https://op.gg/lol/champions/velkoz/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0118,1.01,1.33,popular,95277,276061,https://lolalytics.com/lol/velkoz/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,9.99999999999994e-05,0.008438818565400793,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Vex,vex,0.0344,0.52,0.038,64123,https://op.gg/lol/champions/vex/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0342,0.91,1.05,niche,109791,250892,https://lolalytics.com/lol/vex/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0001999999999999988,0.005830903790087429,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Viktor,viktor,0.0729,0.5127,0.0392,135546,https://op.gg/lol/champions/viktor/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0727,1.27,1.03,popular,155652,348704,https://lolalytics.com/lol/viktor/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00020000000000000573,0.002747252747252826,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Vladimir,vladimir,0.0294,0.504,0.0391,54416,https://op.gg/lol/champions/vladimir/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0294,0.8,1.06,niche,94533,219636,https://lolalytics.com/lol/vladimir/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0,0.0,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Xerath,xerath,0.057699999999999994,0.5228,0.0915,107160,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0579,2.07,1.01,popular,257109,568240,https://lolalytics.com/lol/xerath/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00020000000000000573,0.003460207612456847,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Yasuo,yasuo,0.08789999999999999,0.49829999999999997,0.195,162907,https://op.gg/lol/champions/yasuo/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0883,3.23,1.19,popular,341581,886817,https://lolalytics.com/lol/yasuo/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00040000000000001146,0.004540295119182877,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Yone,yone,0.0571,0.4892,0.054400000000000004,105803,https://op.gg/lol/champions/yone/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0575,2.84,1.02,popular,349621,779711,https://lolalytics.com/lol/yone/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0004000000000000045,0.006980802792321195,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Zed,zed,0.0682,0.4991,0.23370000000000002,127060,https://op.gg/lol/champions/zed/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0688,2.0,1.06,popular,236805,547655,https://lolalytics.com/lol/zed/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0006000000000000033,0.008759124087591288,True,False,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Ziggs,ziggs,0.0096,0.5089,0.0049,17943,https://op.gg/lol/champions/ziggs/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0098,0.68,0.95,unpopular,90050,186171,https://lolalytics.com/lol/ziggs/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.00020000000000000052,0.020618556701030983,True,False,True,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
Zoe,zoe,0.0334,0.5025,0.0489,62134,https://op.gg/lol/champions/zoe/build/mid?region=global&tier=platinum_plus&patch=16.07,2026-04-07,0.0332,0.79,1.22,niche,81714,216974,https://lolalytics.com/lol/zoe/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,True,0.0001999999999999988,0.00600600600600597,True,True,False,False,"LoLalytics extract has pick rate and breadth/depth, not matchup W_ij."
